id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
11663	stream	-0.2343	-1.023	3	78	590	97	2012.8454	18.4639	1.0091
11728	stressor	0.0791	-1.1377	3	57	226	43	2015.5349	14.0465	1.468
11846	succession	-0.4667	-0.0433	1	67	205	40	2012.725	15.925	0.849
11977	system	0.6802	-0.4408	3	63	207	36	2013.2778	19.7222	1.0059
12100	temperature	0.2289	0.6099	2	77	340	65	2013.9846	24.9077	1.4544
12116	temporal	-0.7113	0.1532	1	58	167	34	2012.6176	23.4706	1.1043
12354	tradeoff	0.2062	1.1113	2	52	226	50	2012.76	34.98	1.2619
12357	trait	0.0863	-0.3973	3	99	4859	973	2013.8376	21.3803	1.0542
12808	variability	0.6815	0.2762	2	70	242	45	2012.8	23.2222	0.7645
12833	vegetation	-0.0203	-0.2197	1	84	689	157	2013.2038	19.3439	0.8916
12970	water	0.3024	-0.2245	1	86	470	105	2012.8762	20.8952	0.8909
13142	wetland	-0.0945	-0.353	1	58	163	29	2013.4138	10.069	0.5513
13315	zooplankton	0.2314	0.7363	2	59	171	38	2013.8421	11.0263	0.7857
